sim 	ve 	vg 	re 	rg 	x 	vx 	vd 	vi 	ce1 	cd1 	ce2 	cd2 	cb2 	bmvar 
114	1.000	0.800	0.990	0.900	15.000	100.000	0.000	0.000	-21.889	46.296	0.000	0.868	-0.015	27.330
115	1.000	0.800	0.980	0.500	15.000	100.000	0.000	0.000	-14.470	23.224	-0.000	0.474	-0.023	19.792
116	1.000	0.800	0.980	0.900	15.000	100.000	0.000	0.000	-14.470	30.459	0.000	0.853	-0.023	19.871
117	1.000	1.000	0.990	0.500	15.000	100.000	0.000	0.000	-24.626	36.692	-0.000	0.480	-0.019	27.514
118	1.000	1.000	0.990	0.900	15.000	100.000	0.000	0.000	-24.626	46.542	-0.000	0.865	-0.019	27.585
119	1.000	1.000	0.980	0.500	15.000	100.000	0.000	0.000	-16.279	24.092	-0.000	0.471	-0.028	19.972
120	1.000	1.000	0.980	0.900	15.000	100.000	0.000	0.000	-16.279	30.604	-0.000	0.848	-0.028	20.070
121	1.000	1.100	0.990	0.500	15.000	100.000	0.001	0.015	-26.185	37.456	-0.029	0.495	-0.020	27.541
122	1.000	1.100	0.990	0.900	15.000	100.000	0.006	0.018	-26.574	46.718	-0.037	0.868	-0.019	27.628
123	1.000	1.100	0.980	0.500	15.000	100.000	0.000	0.004	-17.128	24.500	-0.009	0.474	-0.030	19.999
124	1.000	1.100	0.980	0.900	15.000	100.000	0.000	0.005	-17.204	30.678	-0.011	0.847	-0.030	20.107
125	1.000	1.400	0.990	0.500	15.000	100.000	0.045	0.082	-30.760	39.698	-0.174	0.567	-0.017	27.670
126	1.000	1.400	0.990	0.900	15.000	100.000	0.200	0.101	-32.544	47.255	-0.207	0.886	-0.016	27.940
127	1.000	1.400	0.980	0.500	15.000	100.000	0.034	0.074	-20.191	25.970	-0.155	0.546	-0.026	20.064
128	1.000	1.400	0.980	0.900	15.000	100.000	0.137	0.090	-21.251	31.001	-0.186	0.865	-0.025	20.260
129	1.000	1.600	0.990	0.500	15.000	100.000	0.094	0.112	-32.946	40.769	-0.244	0.602	-0.016	27.798
130	1.000	1.600	0.990	0.900	15.000	100.000	0.403	0.136	-35.143	47.489	-0.284	0.894	-0.015	28.193
131	1.000	1.600	0.980	0.500	15.000	100.000	0.078	0.105	-21.659	26.675	-0.227	0.582	-0.024	20.130
132	1.000	1.600	0.980	0.900	15.000	100.000	0.297	0.126	-23.022	31.143	-0.265	0.873	-0.023	20.385
133	1.000	1.800	0.990	0.500	15.000	100.000	0.149	0.136	-34.682	41.620	-0.300	0.630	-0.015	27.942
134	1.000	1.800	0.990	0.900	15.000	100.000	0.626	0.163	-37.104	47.665	-0.344	0.901	-0.014	28.436
135	1.000	1.800	0.980	0.500	15.000	100.000	0.128	0.128	-22.826	27.235	-0.284	0.610	-0.023	20.205
136	1.000	1.800	0.980	0.900	15.000	100.000	0.475	0.152	-24.362	31.250	-0.328	0.880	-0.022	20.502
137	1.000	2.000	0.990	0.500	15.000	100.000	0.209	0.155	-36.091	42.310	-0.346	0.653	-0.014	28.095
138	1.000	2.000	0.990	0.900	15.000	100.000	0.857	0.183	-38.634	47.803	-0.392	0.906	-0.013	28.654
139	1.000	2.000	0.980	0.500	15.000	100.000	0.183	0.147	-23.774	27.690	-0.331	0.633	-0.022	20.284
140	1.000	2.000	0.980	0.900	15.000	100.000	0.659	0.172	-25.408	31.334	-0.379	0.885	-0.021	20.604
141	1.000	3.000	0.990	0.500	15.000	100.000	0.515	0.212	-40.418	44.430	-0.493	0.726	-0.011	28.827
142	1.000	3.000	0.990	0.900	15.000	100.000	1.951	0.238	-42.981	48.194	-0.544	0.921	-0.011	29.378
143	1.000	3.000	0.980	0.500	15.000	100.000	0.464	0.203	-26.689	29.089	-0.481	0.707	-0.018	20.667
144	1.000	3.000	0.980	0.900	15.000	100.000	1.513	0.222	-28.373	31.571	-0.538	0.899	-0.019	20.919
